metric,baseline,with_drift,delta
accuracy,0.9068384539147671,0.8929633300297324,-0.013875123885034757
f1_score,0.9337094499294781,0.9226361031518625,-0.011073346777615622
roc_auc,0.9427114381520119,0.93725782414307,-0.005453614008941843
