,0
feat_0,2.591575589066241
feat_14,1.0447869300745147
feat_9,0.9351933606102194
feat_13,0.6974528821335677
feat_4,0.6640841663885906
feat_12,0.5329070305856483
feat_24,0.5175122030339447
feat_7,0.4907773755411813
feat_33,0.4710536297203489
feat_30,0.3584974203362054
feat_25,0.34142740449707043
feat_40,0.31982782593853887
feat_35,0.3173841433396318
feat_2,0.28468544235119697
feat_19,0.2793497319657182
feat_10,0.2772489774039012
feat_27,0.2678187026488354
feat_21,0.25802025175300863
feat_31,0.25059066715038353
feat_26,0.2491522190288668
feat_28,0.2473243060438194
feat_37,0.2460339841567015
feat_45,0.2254487963630894
feat_20,0.21947544316259332
feat_18,0.20603299339204997
feat_11,0.18446727577632016
feat_55,0.181818985026662
feat_54,0.1804901825375516
feat_41,0.16174117103295363
feat_43,0.15797035229959375
feat_36,0.15067018723209108
feat_3,0.14760945330704428
feat_44,0.14557403442833686
feat_6,0.14551265326774554
feat_32,0.136705655277132
feat_42,0.10769851751250278
feat_1,0.10672532760708595
feat_22,0.1047519195672815
feat_16,0.09613818253850724
feat_34,0.07799122556004479
feat_46,0.07676678787573059
feat_29,0.07045198637407797
feat_23,0.06606421393804955
feat_15,0.05819160275450992
feat_8,0.058101120666540815
feat_39,0.051716939882185696
feat_51,0.04421808772546897
feat_49,0.03967393137606227
feat_5,0.029122940068776738
feat_17,0.01495230538708836
